order_id,order_date,shipped_date,freight,customer_id,customer_name,customer_city,customer_country,employee_id,employee_name,employee_title,product_id,unit_price,quantity,discount,sales_amount,product_name,category_id,supplier_id,category_name,supplier_name,supplier_country
10250,"1994-08-08 00:00:00","1994-08-12 00:00:00",65.83,HANAR,"Hanari Carnes","Rio de Janeiro",Brazil,4,"Margaret Peacock","Sales Representative",41,7.7,10,0,77,"Jack's New England Clam Chowder",8,19,Seafood,"New England Seafood Cannery",USA
10250,"1994-08-08 00:00:00","1994-08-12 00:00:00",65.83,HANAR,"Hanari Carnes","Rio de Janeiro",Brazil,4,"Margaret Peacock","Sales Representative",51,42.4,35,0,1484,"Manjimup Dried Apples",7,24,Produce,"G'day, Mate",Australia
10250,"1994-08-08 00:00:00","1994-08-12 00:00:00",65.83,HANAR,"Hanari Carnes","Rio de Janeiro",Brazil,4,"Margaret Peacock","Sales Representative",65,16.8,15,0,252,"Louisiana Fiery Hot Pepper Sauce",2,2,Condiments,"New Orleans Cajun Delights",USA
10253,"1994-08-10 00:00:00","1994-08-16 00:00:00",58.17,HANAR,"Hanari Carnes","Rio de Janeiro",Brazil,3,"Janet Leverling","Sales Representative",31,10,20,0,200,"Gorgonzola Telino",4,14,"Dairy Products","Formaggi Fortini s.r.l.",Italy
10253,"1994-08-10 00:00:00","1994-08-16 00:00:00",58.17,HANAR,"Hanari Carnes","Rio de Janeiro",Brazil,3,"Janet Leverling","Sales Representative",39,14.4,42,0,604.8000000000001,"Chartreuse verte",1,18,Beverages,"Aux joyeux ecclÃ©siastiques",France
10253,"1994-08-10 00:00:00","1994-08-16 00:00:00",58.17,HANAR,"Hanari Carnes","Rio de Janeiro",Brazil,3,"Janet Leverling","Sales Representative",49,16,40,0,640,Maxilaku,3,23,Confections,"Karkki Oy",Finland
10254,"1994-08-11 00:00:00","1994-08-23 00:00:00",22.98,CHOPS,"Chop-suey Chinese",Bern,Switzerland,5,"Steven Buchanan","Sales Manager",24,3.6,15,0,54,"GuaranÃ¡ FantÃ¡stica",1,10,Beverages,"Refrescos Americanas LTDA",Brazil
10254,"1994-08-11 00:00:00","1994-08-23 00:00:00",22.98,CHOPS,"Chop-suey Chinese",Bern,Switzerland,5,"Steven Buchanan","Sales Manager",55,19.2,21,0,403.2,"PÃ¢tÃ© chinois",6,25,Meat/Poultry,"Ma Maison",Canada
10254,"1994-08-11 00:00:00","1994-08-23 00:00:00",22.98,CHOPS,"Chop-suey Chinese",Bern,Switzerland,5,"Steven Buchanan","Sales Manager",74,8,21,0,168,"Longlife Tofu",7,4,Produce,"Tokyo Traders",Japan
10257,"1994-08-16 00:00:00","1994-08-22 00:00:00",81.91,HILAA,HILARIÃ“N-Abastos,"San CristÃ³bal",Venezuela,4,"Margaret Peacock","Sales Representative",27,35.1,25,0,877.5,"Schoggi Schokolade",3,11,Confections,"Heli SÃ¼ÃŸwaren GmbH & Co. KG",Germany
10257,"1994-08-16 00:00:00","1994-08-22 00:00:00",81.91,HILAA,HILARIÃ“N-Abastos,"San CristÃ³bal",Venezuela,4,"Margaret Peacock","Sales Representative",39,14.4,6,0,86.4,"Chartreuse verte",1,18,Beverages,"Aux joyeux ecclÃ©siastiques",France
10257,"1994-08-16 00:00:00","1994-08-22 00:00:00",81.91,HILAA,HILARIÃ“N-Abastos,"San CristÃ³bal",Venezuela,4,"Margaret Peacock","Sales Representative",77,10.4,15,0,156,"Original Frankfurter grÃ¼ne SoÃŸe",2,12,Condiments,"Plutzer LebensmittelgroÃŸmÃ¤rkte AG",Germany
10258,"1994-08-17 00:00:00","1994-08-23 00:00:00",140.51,ERNSH,"Ernst Handel",Graz,Austria,1,"Nancy Davolio","Sales Representative",2,15.2,50,0,760,Chang,1,1,Beverages,"Exotic Liquids",UK
10258,"1994-08-17 00:00:00","1994-08-23 00:00:00",140.51,ERNSH,"Ernst Handel",Graz,Austria,1,"Nancy Davolio","Sales Representative",5,17,65,0,1105,"Chef Anton's Gumbo Mix",2,2,Condiments,"New Orleans Cajun Delights",USA
10258,"1994-08-17 00:00:00","1994-08-23 00:00:00",140.51,ERNSH,"Ernst Handel",Graz,Austria,1,"Nancy Davolio","Sales Representative",32,25.6,6,0,153.60000000000002,"Mascarpone Fabioli",4,14,"Dairy Products","Formaggi Fortini s.r.l.",Italy
10259,"1994-08-18 00:00:00","1994-08-25 00:00:00",3.25,CENTC,"Centro comercial Moctezuma","MÃ©xico D.F.",Mexico,4,"Margaret Peacock","Sales Representative",21,8,10,0,80,"Sir Rodney's Scones",3,8,Confections,"Specialty Biscuits, Ltd.",UK
10259,"1994-08-18 00:00:00","1994-08-25 00:00:00",3.25,CENTC,"Centro comercial Moctezuma","MÃ©xico D.F.",Mexico,4,"Margaret Peacock","Sales Representative",37,20.8,1,0,20.8,"Gravad lax",8,17,Seafood,"Svensk SjÃ¶fÃ¶da AB",Sweden
10260,"1994-08-19 00:00:00","1994-08-29 00:00:00",55.09,OTTIK,"Ottilies KÃ¤seladen",KÃ¶ln,Germany,4,"Margaret Peacock","Sales Representative",41,7.7,16,0,123.2,"Jack's New England Clam Chowder",8,19,Seafood,"New England Seafood Cannery",USA
10260,"1994-08-19 00:00:00","1994-08-29 00:00:00",55.09,OTTIK,"Ottilies KÃ¤seladen",KÃ¶ln,Germany,4,"Margaret Peacock","Sales Representative",57,15.6,50,0,780,"Ravioli Angelo",5,26,Grains/Cereals,"Pasta Buttini s.r.l.",Italy
10260,"1994-08-19 00:00:00","1994-08-29 00:00:00",55.09,OTTIK,"Ottilies KÃ¤seladen",KÃ¶ln,Germany,4,"Margaret Peacock","Sales Representative",62,39.4,15,0,591,"Tarte au sucre",3,29,Confections,"ForÃªts d'Ã©rables",Canada
10260,"1994-08-19 00:00:00","1994-08-29 00:00:00",55.09,OTTIK,"Ottilies KÃ¤seladen",KÃ¶ln,Germany,4,"Margaret Peacock","Sales Representative",70,12,21,0,252,"Outback Lager",1,7,Beverages,"Pavlova, Ltd.",Australia
10261,"1994-08-19 00:00:00","1994-08-30 00:00:00",3.05,QUEDE,"Que DelÃ­cia","Rio de Janeiro",Brazil,4,"Margaret Peacock","Sales Representative",21,8,20,0,160,"Sir Rodney's Scones",3,8,Confections,"Specialty Biscuits, Ltd.",UK
10261,"1994-08-19 00:00:00","1994-08-30 00:00:00",3.05,QUEDE,"Que DelÃ­cia","Rio de Janeiro",Brazil,4,"Margaret Peacock","Sales Representative",35,14.4,20,0,288,"Steeleye Stout",1,16,Beverages,"Bigfoot Breweries",USA
10262,"1994-08-22 00:00:00","1994-08-25 00:00:00",48.29,RATTC,"Rattlesnake Canyon Grocery",Albuquerque,USA,8,"Laura Callahan","Inside Sales Coordinator",5,17,12,0,204,"Chef Anton's Gumbo Mix",2,2,Condiments,"New Orleans Cajun Delights",USA
10262,"1994-08-22 00:00:00","1994-08-25 00:00:00",48.29,RATTC,"Rattlesnake Canyon Grocery",Albuquerque,USA,8,"Laura Callahan","Inside Sales Coordinator",7,24,15,0,360,"Uncle Bob's Organic Dried Pears",7,3,Produce,"Grandma Kelly's Homestead",USA
10262,"1994-08-22 00:00:00","1994-08-25 00:00:00",48.29,RATTC,"Rattlesnake Canyon Grocery",Albuquerque,USA,8,"Laura Callahan","Inside Sales Coordinator",56,30.4,2,0,60.8,"Gnocchi di nonna Alice",5,26,Grains/Cereals,"Pasta Buttini s.r.l.",Italy
10263,"1994-08-23 00:00:00","1994-08-31 00:00:00",146.06,ERNSH,"Ernst Handel",Graz,Austria,9,"Anne Dodsworth","Sales Representative",16,13.9,60,0,834,Pavlova,3,7,Confections,"Pavlova, Ltd.",Australia
10263,"1994-08-23 00:00:00","1994-08-31 00:00:00",146.06,ERNSH,"Ernst Handel",Graz,Austria,9,"Anne Dodsworth","Sales Representative",24,3.6,28,0,100.8,"GuaranÃ¡ FantÃ¡stica",1,10,Beverages,"Refrescos Americanas LTDA",Brazil
10263,"1994-08-23 00:00:00","1994-08-31 00:00:00",146.06,ERNSH,"Ernst Handel",Graz,Austria,9,"Anne Dodsworth","Sales Representative",30,20.7,60,0,1242,"Nord-Ost Matjeshering",8,13,Seafood,"Nord-Ost-Fisch Handelsgesellschaft mbH",Germany
10263,"1994-08-23 00:00:00","1994-08-31 00:00:00",146.06,ERNSH,"Ernst Handel",Graz,Austria,9,"Anne Dodsworth","Sales Representative",74,8,36,0,288,"Longlife Tofu",7,4,Produce,"Tokyo Traders",Japan
10264,"1994-08-24 00:00:00","1994-09-23 00:00:00",3.67,FOLKO,"Folk och fÃ¤ HB",BrÃ¤cke,Sweden,6,"Michael Suyama","Sales Representative",2,15.2,35,0,532,Chang,1,1,Beverages,"Exotic Liquids",UK
10264,"1994-08-24 00:00:00","1994-09-23 00:00:00",3.67,FOLKO,"Folk och fÃ¤ HB",BrÃ¤cke,Sweden,6,"Michael Suyama","Sales Representative",41,7.7,25,0,192.5,"Jack's New England Clam Chowder",8,19,Seafood,"New England Seafood Cannery",USA
10265,"1994-08-25 00:00:00","1994-09-12 00:00:00",55.28,BLONP,"Blondel pÃ¨re et fils",Strasbourg,France,2,"Andrew Fuller","Vice President Sales",17,31.2,30,0,936,"Alice Mutton",6,7,Meat/Poultry,"Pavlova, Ltd.",Australia
10265,"1994-08-25 00:00:00","1994-09-12 00:00:00",55.28,BLONP,"Blondel pÃ¨re et fils",Strasbourg,France,2,"Andrew Fuller","Vice President Sales",70,12,20,0,240,"Outback Lager",1,7,Beverages,"Pavlova, Ltd.",Australia
10267,"1994-08-29 00:00:00","1994-09-06 00:00:00",208.58,FRANK,Frankenversand,MÃ¼nchen,Germany,4,"Margaret Peacock","Sales Representative",40,14.7,50,0,735,"Boston Crab Meat",8,19,Seafood,"New England Seafood Cannery",USA
10248,"1994-08-04 00:00:00","1994-08-16 00:00:00",32.38,VINET,"Vins et alcools Chevalier",Reims,France,5,"Steven Buchanan","Sales Manager",11,14,12,0,168,"Queso Cabrales",4,5,"Dairy Products","Cooperativa de Quesos 'Las Cabras'",Spain
10248,"1994-08-04 00:00:00","1994-08-16 00:00:00",32.38,VINET,"Vins et alcools Chevalier",Reims,France,5,"Steven Buchanan","Sales Manager",42,9.8,10,0,98,"Singaporean Hokkien Fried Mee",5,20,Grains/Cereals,"Leka Trading",Singapore
10248,"1994-08-04 00:00:00","1994-08-16 00:00:00",32.38,VINET,"Vins et alcools Chevalier",Reims,France,5,"Steven Buchanan","Sales Manager",72,34.8,5,0,174,"Mozzarella di Giovanni",4,14,"Dairy Products","Formaggi Fortini s.r.l.",Italy
10249,"1994-08-05 00:00:00","1994-08-10 00:00:00",11.61,TOMSP,"Toms SpezialitÃ¤ten",MÃ¼nster,Germany,6,"Michael Suyama","Sales Representative",14,18.6,9,0,167.4,Tofu,7,6,Produce,Mayumi's,Japan
10249,"1994-08-05 00:00:00","1994-08-10 00:00:00",11.61,TOMSP,"Toms SpezialitÃ¤ten",MÃ¼nster,Germany,6,"Michael Suyama","Sales Representative",51,42.4,40,0,1696,"Manjimup Dried Apples",7,24,Produce,"G'day, Mate",Australia
10251,"1994-08-08 00:00:00","1994-08-15 00:00:00",41.34,VICTE,"Victuailles en stock",Lyon,France,3,"Janet Leverling","Sales Representative",22,16.8,6,0,100.80000000000001,"Gustaf's KnÃ¤ckebrÃ¶d",5,9,Grains/Cereals,"PB KnÃ¤ckebrÃ¶d AB","Sweden "
10251,"1994-08-08 00:00:00","1994-08-15 00:00:00",41.34,VICTE,"Victuailles en stock",Lyon,France,3,"Janet Leverling","Sales Representative",57,15.6,15,0,234,"Ravioli Angelo",5,26,Grains/Cereals,"Pasta Buttini s.r.l.",Italy
10251,"1994-08-08 00:00:00","1994-08-15 00:00:00",41.34,VICTE,"Victuailles en stock",Lyon,France,3,"Janet Leverling","Sales Representative",65,16.8,20,0,336,"Louisiana Fiery Hot Pepper Sauce",2,2,Condiments,"New Orleans Cajun Delights",USA
